time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,estimated_airflow_cfm,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7,motor_kwh,oil_kwh,cooling_kwh,blower_kwh,air_kwh,total_kwh_per_kg
2026-05-20 08:06:00,0.0000,6.7857,,,81.8182,4.2076,0.0852,296.9444,26.1040,0.0000,0.5783,2.0000,1.4798,2.2306,2.2306,2.2306,13.5776,24.4906,14.0247,9.9870,53.5252,24.0789,-19.4582,60.1667,13.3333,-181.4070,-0.3359,23.6615,67.8368,21.5535,-0.3359,43.2107,21.8927,44.4296,21.7005,43.6854,22.0573,21.6093,0.0036,27.3009,4.6654,15.1702,28.7461,0.0138,65.5676,21.6954,-35.1497,-101.6098,33.3439,101.9592,30.0000,32.5000,30.1953,0.9698,0.5001,1.5267,0.5105,5.3573,1.8037,0.8619,0.4977,0.9879,0.2448,3.2548,1.3468,2.5742,1.1067,0.9937,0.8061,45.6604,25.7205,23.5838,21.8467,21.3864,47.5470,22.1909,22.6787,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:07:00,0.0167,10.3571,3.5714,3.5714,81.8167,225.4876,1.3433,290.2542,27.3841,0.0000,23.8298,24.0000,15.1764,74.6349,74.6349,74.6349,55.8107,31.2197,18.3821,13.2235,57.3628,27.6291,-101.7800,62.0728,100.0000,-181.4672,-0.3256,23.9442,64.1466,21.3861,-0.3359,43.2711,21.9796,44.5589,21.9906,44.9496,21.8007,21.6206,0.0031,27.3831,99.4158,90.0234,28.7529,0.0446,62.7289,21.7008,-34.8590,-164.0493,51.4509,101.9513,30.0000,32.5000,30.1953,1.2929,0.5204,21.1840,12.8957,66.8436,40.6306,4.4982,1.3860,4.9821,1.4942,21.2342,14.5975,19.7207,13.7396,2.9114,2.5787,45.7731,25.8799,30.6180,21.0559,22.1541,61.1230,21.8793,22.3871,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:08:00,0.0333,10.0000,-0.3571,1.6071,81.8169,160.4328,1.3431,285.4980,28.3948,0.0000,24.0293,24.0000,14.5620,74.9922,74.9922,74.9922,57.4494,35.2439,19.3567,14.0739,47.2106,32.0334,-104.2320,75.5832,100.0000,-181.4618,-0.3359,24.3304,63.2990,21.2208,-0.3359,43.2380,21.9834,43.9624,22.3918,45.5306,21.5543,21.5667,0.0026,27.5254,100.0000,90.0234,28.7478,-0.0171,60.8178,21.7031,-35.1312,-135.3999,60.6154,101.9526,30.1667,32.6667,31.1953,1.2883,0.5226,21.1791,12.9307,66.7677,40.6838,5.0323,1.4810,5.7832,1.5833,20.9814,14.5038,19.4974,13.6449,2.8788,2.5696,47.8027,25.7354,34.4799,21.1196,22.4618,70.5482,21.6027,22.1469,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:09:00,0.0500,10.0000,0.0000,1.0714,81.8169,123.1605,1.3405,281.7527,29.1754,0.0000,23.4966,22.0000,14.5668,74.9922,74.9922,74.9922,55.4344,39.5082,20.6222,15.2467,40.6445,36.1257,-97.3229,86.5940,100.0000,-181.4620,-0.3359,24.6418,63.4105,21.2012,-0.3359,43.2930,21.9768,43.3289,22.9301,46.3268,21.4736,21.5393,0.0057,27.6754,100.0000,90.0234,28.7546,0.0755,59.4318,21.7116,-35.4996,-169.2956,70.0144,101.9521,30.6667,33.5000,31.1953,1.3002,0.5248,21.0981,12.9107,66.9377,40.6538,5.0700,1.4239,5.6534,1.5330,20.9074,14.4201,19.3677,13.5618,2.8791,2.5876,51.3154,25.5751,38.3057,21.3300,22.8184,81.6378,21.3796,21.9718,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:10:00,0.0667,0.7143,-9.2857,-1.5179,81.8207,104.4479,0.7933,284.5449,29.1652,0.0000,-12.0891,-14.0000,9.0067,74.9922,74.9922,74.9922,56.6151,42.3703,21.6911,16.3274,36.0562,39.5433,-99.4699,96.9176,100.0000,-181.4699,-0.3256,24.9323,63.3906,21.2440,-0.3359,43.3617,21.9817,42.5700,23.3960,46.4908,21.6024,21.5889,0.0036,27.8253,100.0000,90.0234,28.7546,-0.0068,58.3426,21.7283,-35.7684,-165.3990,77.2275,101.9517,30.8333,33.5000,31.1953,1.3025,0.5302,20.9999,12.8985,65.9915,40.4575,5.0699,1.4455,5.7565,1.5668,20.8060,14.3686,19.2819,13.5119,2.8564,2.5898,55.9507,25.5758,41.2718,21.6825,23.0654,89.5692,21.3629,21.8251,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:11:00,0.0833,0.0000,-0.7143,-1.3571,81.8210,94.3008,1.3427,284.9751,30.0141,0.0000,-24.0336,-24.0000,13.6651,74.9922,74.9922,74.9922,55.8417,39.2639,21.3315,15.9413,36.8959,38.6832,-103.6008,105.8311,100.0000,-181.4125,-0.3359,25.0627,63.2892,21.2902,-0.3359,43.4128,21.9975,41.7400,23.5776,46.4803,21.7195,21.5482,0.0005,27.9801,100.0000,90.0234,28.7495,0.0549,57.4616,21.7648,-36.2035,-193.1042,82.3857,101.9522,31.0000,33.5000,31.3620,1.3210,0.5330,21.1112,12.9279,67.0799,40.7789,5.3263,1.4173,6.0926,1.5585,20.8213,14.3553,19.2841,13.4989,2.8797,2.5930,60.9542,25.6906,40.2878,21.4202,23.0499,94.8375,21.4273,21.8339,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:12:00,0.1000,0.0000,0.0000,-1.1310,81.8210,88.3325,1.3420,289.5382,30.5896,0.0000,-24.0351,-24.0000,13.2857,74.9922,74.9922,74.9922,56.0853,40.9836,21.9617,16.5843,37.8156,38.9352,-116.2072,114.0879,100.0000,-181.4207,-0.3359,25.1530,63.1353,21.3426,-0.3359,43.4845,22.0232,41.3133,23.7053,46.2841,21.7207,21.5499,0.0047,28.1044,100.0000,90.0234,28.7495,0.0344,56.7361,21.8099,-36.6409,-192.9729,85.8848,101.9523,31.0000,33.5000,31.8620,1.3235,0.5389,21.0805,12.8912,66.9168,40.5990,5.4167,1.4579,5.9641,1.5765,20.7720,14.3249,19.2341,13.4694,2.8733,2.5802,66.6392,25.8040,41.7739,21.5532,23.1399,98.2073,21.3013,21.8390,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:13:00,0.1167,0.0000,0.0000,-0.9694,81.8210,84.3292,0.7886,285.2141,30.7563,0.0000,-11.3565,-8.0000,8.0667,74.9922,74.9922,74.9922,57.6730,44.0947,22.9831,17.6813,37.3110,40.3505,-110.1637,121.7905,100.0000,-181.4043,-0.3359,25.2292,63.0460,21.3560,-0.3359,43.5155,22.0553,40.9957,23.8704,46.3027,21.6681,21.5721,0.0010,28.2264,100.0000,90.0234,28.7613,0.0652,56.1353,21.8526,-36.9383,-132.3065,88.5676,101.9529,31.0000,34.0000,32.1953,1.3443,0.5444,20.9228,12.8869,65.5175,40.3778,5.3155,1.4628,5.7488,1.5233,20.7961,14.3119,19.2384,13.4596,2.8404,2.5750,72.8626,25.9045,43.9548,21.8702,23.3213,100.5877,21.2210,21.8380,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:14:00,0.1333,0.0000,0.0000,-0.8482,81.8210,81.6302,1.3404,282.0751,31.0659,0.0000,23.7656,24.0000,13.8146,74.9922,74.9922,74.9922,55.9535,49.8684,24.2660,19.1438,31.8263,44.8957,-111.1404,129.8517,100.0000,-181.4070,-0.3256,25.3375,62.9461,21.3406,-0.3359,43.5254,22.0865,40.4273,24.1823,46.3449,21.6918,21.6078,0.0021,28.3393,100.0000,90.0234,28.7461,0.0446,55.6400,21.8954,-37.1980,-145.4656,90.4728,101.9516,31.0000,34.1667,32.1953,1.3677,0.5540,21.1313,12.8894,67.5988,40.7730,4.8252,1.3691,5.6875,1.4650,20.7534,14.3019,19.1229,13.4479,2.8719,2.5779,78.8384,25.9833,47.8573,22.3353,23.6331,102.6361,21.2578,21.7510,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
2026-05-20 08:15:00,0.1500,0.0000,0.0000,-0.7540,81.8210,79.5173,1.3402,282.7724,31.7264,0.0000,24.0281,24.0000,13.3099,74.9922,74.9922,74.9922,56.0453,52.9941,25.2529,20.3395,28.2166,48.3631,-108.2100,137.0572,100.0000,-181.3933,-0.3359,25.4136,62.8672,21.3671,-0.3359,43.5477,22.1186,39.8383,24.4480,46.2100,21.6729,21.6053,-0.0005,28.4405,100.0000,90.0234,28.7596,0.0549,55.2250,21.9499,-37.2022,-131.2138,92.1057,101.9530,31.0000,34.5000,32.1953,1.3454,0.5549,21.0159,12.8824,66.2879,40.5377,5.8983,1.5771,6.3579,1.6709,20.7627,14.2960,19.2445,13.4429,2.8548,2.5715,85.1407,26.1084,49.9310,22.5973,23.8254,104.1082,21.1356,21.7864,0.0384,2.1627,0.1062,0.1714,0.8897,496.3880
